anchor_index,labelled_anchor_timestamp,local_target_change,relative_local_target_change,time_of_day,A_prediction,A_ground_truth,A_abs_error,A_standard_APE,B_prediction,B_ground_truth,B_abs_error,B_standard_APE,C_prediction,C_ground_truth,C_abs_error,C_standard_APE,D_prediction,D_ground_truth,D_abs_error,D_standard_APE,best_cell,A_minus_B_APE
200,2014-07-05 04:00:00,598.0,0.18996188055908514,night,15575.883575883578,3148.0,12427.883575883578,3.9478664472311236,7609.147609147609,3148.0,4461.147609147609,1.4171371058283382,15575.883575883578,2550.0,13025.883575883578,5.108189637601403,10145.530145530145,3148.0,6997.530145530145,2.2228494744377842,B,2.530729341402785
201,2014-07-05 04:30:00,510.0,0.1394204483324221,night,7609.147609147609,3658.0,3951.147609147609,1.0801387668528182,15744.975744975745,3658.0,12086.975744975745,3.3042579947992743,7609.147609147609,3148.0,4461.147609147609,1.4171371058283382,11891.891891891893,3658.0,8233.891891891893,2.250927253114241,A,-2.2241192279464563
202,2014-07-05 05:00:00,687.0,0.15811277330264673,night,15744.975744975745,4345.0,11399.975744975745,2.623699826231472,8149.68814968815,4345.0,3804.6881496881497,0.8756474452676984,15744.975744975745,3658.0,12086.975744975745,3.3042579947992743,6237.006237006237,4345.0,1892.006237006237,0.43544447341915693,D,1.7480523809637734
203,2014-07-05 05:30:00,337.0,0.07197778727039726,night,8149.68814968815,4682.0,3467.6881496881497,0.7406424924579559,19002.079002079,4682.0,14320.079002079001,3.058538872720846,8149.68814968815,4345.0,3804.6881496881497,0.8756474452676984,16985.446985446986,4682.0,12303.446985446986,2.627818664127934,A,-2.31789638026289
204,2014-07-05 06:00:00,1566.0,0.250640204865557,morning_rise,19002.079002079,6248.0,12754.079002079001,2.0413058582072665,13478.863478863479,6248.0,7230.863478863479,1.1573084953366644,19002.079002079,4682.0,14320.079002079001,3.058538872720846,10187.110187110187,6248.0,3939.1101871101873,0.6304593769382502,D,0.8839973628706022
205,2014-07-05 06:30:00,1206.0,0.1617923262677757,morning_rise,13478.863478863479,7454.0,6024.863478863479,0.8082725353989105,24823.284823284823,7454.0,17369.284823284823,2.3301965150637005,13478.863478863479,6248.0,7230.863478863479,1.1573084953366644,16735.966735966736,7454.0,9281.966735966736,1.2452329938243543,A,-1.5219239796647899
206,2014-07-05 07:00:00,1556.0,0.17269700332963375,morning_rise,24823.284823284823,9010.0,15813.284823284823,1.75508155641341,8149.68814968815,9010.0,860.3118503118503,0.09548411213228084,24823.284823284823,7454.0,17369.284823284823,2.3301965150637005,22952.182952182953,9010.0,13942.182952182953,1.547412092362148,B,1.659597444281129
207,2014-07-05 07:30:00,1270.0,0.12354085603112841,morning_rise,8149.68814968815,10280.0,2130.3118503118503,0.207228779213215,5051.975051975052,10280.0,5228.024948024948,0.5085627381347225,8149.68814968815,9010.0,860.3118503118503,0.09548411213228084,22411.64241164241,10280.0,12131.64241164241,1.1801208571636586,C,-0.3013339589215075
208,2014-07-05 08:00:00,1208.0,0.10515320334261838,morning_rise,5051.975051975052,11488.0,6436.024948024948,0.5602389404617817,8149.68814968815,11488.0,3338.3118503118503,0.2905912125967836,5051.975051975052,10280.0,5228.024948024948,0.5085627381347225,3762.993762993763,11488.0,7725.006237006237,0.6724413507143312,B,0.2696477278649981
209,2014-07-05 08:30:00,107.0,0.009228115567054765,morning_rise,8149.68814968815,11595.0,3445.3118503118503,0.2971377188712247,7858.627858627859,11595.0,3736.3721413721414,0.3222399431972524,8149.68814968815,11488.0,3338.3118503118503,0.2905912125967836,15744.975744975745,11595.0,4149.975744975745,0.35791080163654554,C,-0.02510222432602771
210,2014-07-05 09:00:00,1503.0,0.11475034356390289,morning_rise,7858.627858627859,13098.0,5239.372141372141,0.400013142569258,4670.824670824671,13098.0,8427.17532917533,0.6433940547545679,7858.627858627859,11595.0,3736.3721413721414,0.3222399431972524,17172.55717255717,13098.0,4074.5571725571717,0.31108239216347316,D,-0.24338091218530988
211,2014-07-05 09:30:00,475.0,0.03762972352055771,morning_rise,4670.824670824671,12623.0,7952.175329175329,0.6299750716291951,16029.10602910603,12623.0,3406.1060291060294,0.2698333224357149,4670.824670824671,13098.0,8427.17532917533,0.6433940547545679,12099.7920997921,12623.0,523.2079002079008,0.0414487760601997,D,0.3601417491934802
212,2014-07-05 10:00:00,408.0,0.03130995318855038,midday,16029.10602910603,13031.0,2998.1060291060294,0.2300749005529913,12622.512622512624,13031.0,408.48737748737585,0.03134735457657707,16029.10602910603,12623.0,3406.1060291060294,0.2698333224357149,17837.837837837837,13031.0,4806.837837837837,0.3688771266854299,B,0.19872754597641423
213,2014-07-05 10:30:00,232.0,0.01749227173339365,midday,12622.512622512624,13263.0,640.4873774873759,0.0482912898655942,15744.975744975745,13263.0,2481.9757449757453,0.18713531968451672,12622.512622512624,13031.0,408.48737748737585,0.03134735457657707,7858.627858627859,13263.0,5404.372141372141,0.40747735364337945,C,-0.13884402981892252
214,2014-07-05 11:00:00,86.0,0.006442430144580119,midday,15744.975744975745,13349.0,2395.9757449757453,0.17948728331528543,15744.975744975745,13349.0,2395.9757449757453,0.17948728331528543,15744.975744975745,13263.0,2481.9757449757453,0.18713531968451672,13790.71379071379,13349.0,441.7137907137894,0.033089653960131055,D,0.0
