sentence_index,cycle,active_column,delta_t_abs,provenance_class,evidence
4,8,66,0.17263346354166664,CONTINUOUS_PREDICTION_CROSSING_OFFSET,candidate predicted_time is the saved continuous firing time; no separate phase/cycle attribution is claimed
4,8,63,0.45041124131943366,CONTINUOUS_PREDICTION_CROSSING_OFFSET,candidate predicted_time is the saved continuous firing time; no separate phase/cycle attribution is claimed
4,8,86,0.10611111111111121,CONTINUOUS_PREDICTION_CROSSING_OFFSET,candidate predicted_time is the saved continuous firing time; no separate phase/cycle attribution is claimed
5,3,99,0.061522352430555705,CONTINUOUS_PREDICTION_CROSSING_OFFSET,candidate predicted_time is the saved continuous firing time; no separate phase/cycle attribution is claimed
5,3,18,0.45041124131943366,CONTINUOUS_PREDICTION_CROSSING_OFFSET,candidate predicted_time is the saved continuous firing time; no separate phase/cycle attribution is claimed
6,1,49,0.28374457465276703,CONTINUOUS_PREDICTION_CROSSING_OFFSET,candidate predicted_time is the saved continuous firing time; no separate phase/cycle attribution is claimed
6,9,68,0.3393001302083334,CONTINUOUS_PREDICTION_CROSSING_OFFSET,candidate predicted_time is the saved continuous firing time; no separate phase/cycle attribution is claimed
6,9,14,0.11707790798611112,CONTINUOUS_PREDICTION_CROSSING_OFFSET,candidate predicted_time is the saved continuous firing time; no separate phase/cycle attribution is claimed
6,9,66,0.05000000000000959,CONTINUOUS_PREDICTION_CROSSING_OFFSET,candidate predicted_time is the saved continuous firing time; no separate phase/cycle attribution is claimed
7,3,13,0.16166666666666676,CONTINUOUS_PREDICTION_CROSSING_OFFSET,candidate predicted_time is the saved continuous firing time; no separate phase/cycle attribution is claimed
7,8,78,0.11738186306423626,CONTINUOUS_PREDICTION_CROSSING_OFFSET,candidate predicted_time is the saved continuous firing time; no separate phase/cycle attribution is claimed
7,8,57,0.11722561306423626,CONTINUOUS_PREDICTION_CROSSING_OFFSET,candidate predicted_time is the saved continuous firing time; no separate phase/cycle attribution is claimed
7,8,38,0.2277777777777682,CONTINUOUS_PREDICTION_CROSSING_OFFSET,candidate predicted_time is the saved continuous firing time; no separate phase/cycle attribution is claimed
7,8,18,0.2161077202690972,CONTINUOUS_PREDICTION_CROSSING_OFFSET,candidate predicted_time is the saved continuous firing time; no separate phase/cycle attribution is claimed
7,8,68,0.3273665364583332,CONTINUOUS_PREDICTION_CROSSING_OFFSET,candidate predicted_time is the saved continuous firing time; no separate phase/cycle attribution is claimed
7,8,88,0.3824545627170137,CONTINUOUS_PREDICTION_CROSSING_OFFSET,candidate predicted_time is the saved continuous firing time; no separate phase/cycle attribution is claimed
7,9,78,0.1733333333333261,CONTINUOUS_PREDICTION_CROSSING_OFFSET,candidate predicted_time is the saved continuous firing time; no separate phase/cycle attribution is claimed
7,9,20,0.17277777777776937,CONTINUOUS_PREDICTION_CROSSING_OFFSET,candidate predicted_time is the saved continuous firing time; no separate phase/cycle attribution is claimed
8,2,94,0.061654188368055585,CONTINUOUS_PREDICTION_CROSSING_OFFSET,candidate predicted_time is the saved continuous firing time; no separate phase/cycle attribution is claimed
8,6,80,0.17293741861979162,CONTINUOUS_PREDICTION_CROSSING_OFFSET,candidate predicted_time is the saved continuous firing time; no separate phase/cycle attribution is claimed
8,6,12,0.04958875868055537,CONTINUOUS_PREDICTION_CROSSING_OFFSET,candidate predicted_time is the saved continuous firing time; no separate phase/cycle attribution is claimed
8,6,14,0.32721883138020824,CONTINUOUS_PREDICTION_CROSSING_OFFSET,candidate predicted_time is the saved continuous firing time; no separate phase/cycle attribution is claimed
8,8,64,0.17293741861979162,CONTINUOUS_PREDICTION_CROSSING_OFFSET,candidate predicted_time is the saved continuous firing time; no separate phase/cycle attribution is claimed
8,8,81,0.44944444444443366,CONTINUOUS_PREDICTION_CROSSING_OFFSET,candidate predicted_time is the saved continuous firing time; no separate phase/cycle attribution is claimed
8,8,87,0.1606998697916665,CONTINUOUS_PREDICTION_CROSSING_OFFSET,candidate predicted_time is the saved continuous firing time; no separate phase/cycle attribution is claimed
8,8,13,0.10467678493923604,CONTINUOUS_PREDICTION_CROSSING_OFFSET,candidate predicted_time is the saved continuous firing time; no separate phase/cycle attribution is claimed
8,8,3,0.10500000000000842,CONTINUOUS_PREDICTION_CROSSING_OFFSET,candidate predicted_time is the saved continuous firing time; no separate phase/cycle attribution is claimed
9,1,12,0.21833333333333577,CONTINUOUS_PREDICTION_CROSSING_OFFSET,candidate predicted_time is the saved continuous firing time; no separate phase/cycle attribution is claimed
9,3,87,0.0616700575086806,CONTINUOUS_PREDICTION_CROSSING_OFFSET,candidate predicted_time is the saved continuous firing time; no separate phase/cycle attribution is claimed
9,3,59,0.22920586480034724,CONTINUOUS_PREDICTION_CROSSING_OFFSET,candidate predicted_time is the saved continuous firing time; no separate phase/cycle attribution is claimed
9,3,9,0.22818901909722228,CONTINUOUS_PREDICTION_CROSSING_OFFSET,candidate predicted_time is the saved continuous firing time; no separate phase/cycle attribution is claimed
9,3,97,0.04958875868055537,CONTINUOUS_PREDICTION_CROSSING_OFFSET,candidate predicted_time is the saved continuous firing time; no separate phase/cycle attribution is claimed
9,3,12,0.10484035915798595,CONTINUOUS_PREDICTION_CROSSING_OFFSET,candidate predicted_time is the saved continuous firing time; no separate phase/cycle attribution is claimed
9,3,45,0.16055216471354172,CONTINUOUS_PREDICTION_CROSSING_OFFSET,candidate predicted_time is the saved continuous firing time; no separate phase/cycle attribution is claimed
9,5,47,0.22833333333332492,CONTINUOUS_PREDICTION_CROSSING_OFFSET,candidate predicted_time is the saved continuous firing time; no separate phase/cycle attribution is claimed
9,5,1,0.11777777777777054,CONTINUOUS_PREDICTION_CROSSING_OFFSET,candidate predicted_time is the saved continuous firing time; no separate phase/cycle attribution is claimed
9,5,81,0.2161077202690972,CONTINUOUS_PREDICTION_CROSSING_OFFSET,candidate predicted_time is the saved continuous firing time; no separate phase/cycle attribution is claimed
9,5,5,0.06111111111110151,CONTINUOUS_PREDICTION_CROSSING_OFFSET,candidate predicted_time is the saved continuous firing time; no separate phase/cycle attribution is claimed
9,5,25,0.21595147026909722,CONTINUOUS_PREDICTION_CROSSING_OFFSET,candidate predicted_time is the saved continuous firing time; no separate phase/cycle attribution is claimed
9,5,23,0.4380101182725693,CONTINUOUS_PREDICTION_CROSSING_OFFSET,candidate predicted_time is the saved continuous firing time; no separate phase/cycle attribution is claimed
9,7,29,0.21625542534722209,CONTINUOUS_PREDICTION_CROSSING_OFFSET,candidate predicted_time is the saved continuous firing time; no separate phase/cycle attribution is claimed
9,8,52,0.2837445746527778,CONTINUOUS_PREDICTION_CROSSING_OFFSET,candidate predicted_time is the saved continuous firing time; no separate phase/cycle attribution is claimed
9,8,58,0.06152235243055573,CONTINUOUS_PREDICTION_CROSSING_OFFSET,candidate predicted_time is the saved continuous firing time; no separate phase/cycle attribution is claimed
