diagnostic_label,sentence_index,cue_transition,current_word,expected_next_word,previous_active_cell_count,previous_winner_count,burst_column_count,burst_cell_count,raw_event_count,raw_predicted_column_count,prediction_active_cell_count,number_of_ranked_candidates,expected_word_rank,timed_overlap_of_expected_word,column_overlap_of_expected_word,expected_word_present,selected_word,selected_word_correct,accepted_segment_count,mean_contributors,median_contributors,two_contributor_fraction,three_contributor_fraction,four_plus_contributor_fraction,average_threshold_margin
nonpaper diagnostic,1,1->2,``,I,100,10,6,54,81,81,81,82,1,3,3,True,I,True,81.0,12.864197530864198,10.0,0.0,0.037037037037037035,0.9629629629629629,1.8260660669884576
nonpaper diagnostic,1,2->3,I,did,64,10,10,90,93,93,93,80,,0,0,False,down,False,93.0,7.827956989247312,6.0,0.0,0.010752688172043012,0.989247311827957,0.8162241466996644
nonpaper diagnostic,1,3->4,did,not,100,10,3,28,41,41,41,79,2,3,3,True,n't,False,41.0,7.512195121951219,6.0,0.0,0.0975609756097561,0.9024390243902439,0.9026601432146705
nonpaper diagnostic,1,4->5,not,think,37,10,5,49,24,24,24,64,1,4,4,True,think,True,24.0,5.583333333333333,5.0,0.0,0.0,1.0,0.24937461352081006
nonpaper diagnostic,1,5->6,think,you,55,10,7,66,49,49,49,81,,0,0,False,it,False,49.0,5.836734693877551,5.0,0.0,0.08163265306122448,0.9183673469387755,0.4591448790277806
nonpaper diagnostic,1,6->7,you,would,73,10,0,0,87,87,87,84,75,1,1,True,as,False,87.0,7.574712643678161,7.0,0.0,0.022988505747126436,0.9770114942528736,0.7181873925842664
nonpaper diagnostic,2,1->2,The,Great,100,10,9,81,81,81,81,76,,0,0,False,best,False,81.0,8.901234567901234,10.0,0.012345679012345678,0.012345679012345678,0.9753086419753086,0.9038133920121233
nonpaper diagnostic,2,2->3,Great,Square,91,10,4,36,77,77,77,81,1,4,4,True,Square,True,77.0,6.714285714285714,6.0,0.0,0.05194805194805195,0.948051948051948,0.8276508493860978
nonpaper diagnostic,2,3->4,Square,of,46,10,4,37,41,41,41,65,1,3,3,True,of,True,41.0,6.073170731707317,6.0,0.0,0.1951219512195122,0.8048780487804879,0.7202772383429228
nonpaper diagnostic,2,4->5,of,Pegasus,46,10,8,74,58,58,58,63,22,1,2,True,the,False,58.0,7.155172413793103,6.0,0.0,0.017241379310344827,0.9827586206896551,0.9005293927019826
nonpaper diagnostic,2,5->6,Pegasus,was,82,10,6,55,61,61,61,79,3,2,2,True,go,False,61.0,6.098360655737705,6.0,0.0,0.08196721311475409,0.9180327868852459,0.990463935027016
nonpaper diagnostic,2,6->7,was,over,64,10,0,0,81,81,81,69,,0,0,False,n't,False,81.0,7.135802469135802,6.0,0.0,0.0,1.0,0.5725755462479817
nonpaper diagnostic,3,1->2,A,moment,100,10,3,27,62,62,62,77,54,1,1,True,month,False,62.0,7.258064516129032,8.0,0.0,0.016129032258064516,0.9838709677419355,0.8640158716783286
nonpaper diagnostic,3,2->3,moment,before,37,10,0,0,10,10,10,68,1,10,10,True,before,True,10.0,10.0,10.0,0.0,0.0,1.0,1.1934375274760092
nonpaper diagnostic,3,3->4,before,she,10,10,3,30,7,7,7,55,1,7,7,True,she,True,7.0,10.0,10.0,0.0,0.0,1.0,1.3439975250065925
nonpaper diagnostic,3,4->5,she,had,37,10,3,27,38,38,38,67,1,6,7,True,had,True,38.0,5.868421052631579,4.0,0.0,0.13157894736842105,0.868421052631579,0.7692509247619386
nonpaper diagnostic,3,5->6,had,been,37,10,2,19,48,48,48,76,3,2,2,True,not,False,48.0,6.5625,5.5,0.020833333333333332,0.0625,0.9166666666666666,0.6284178843423298
