diagnostic_label,sentence_index,cue_transition,current_word,expected_next_word,previous_active_cell_count,previous_winner_count,burst_column_count,burst_cell_count,raw_event_count,raw_predicted_column_count,prediction_active_cell_count,number_of_ranked_candidates,expected_word_rank,timed_overlap_of_expected_word,column_overlap_of_expected_word,expected_word_present,selected_word,selected_word_correct,accepted_segment_count,mean_contributors,median_contributors,two_contributor_fraction,three_contributor_fraction,four_plus_contributor_fraction,average_threshold_margin
nonpaper diagnostic,1,1->2,``,I,100,10,2,18,34,34,34,19,1,8,8,True,I,True,34.0,9.764705882352942,10.0,0.029411764705882353,0.0,0.9705882352941176,3.239344184734596
nonpaper diagnostic,1,2->3,I,did,28,10,4,37,23,23,23,18,2,2,4,True,have,False,23.0,8.26086956521739,10.0,0.0,0.0,1.0,2.426135461793279
nonpaper diagnostic,1,3->4,did,not,46,10,0,0,17,17,17,14,1,9,9,True,not,True,17.0,7.9411764705882355,10.0,0.0,0.0,1.0,2.4087970297876806
nonpaper diagnostic,1,4->5,not,think,10,10,0,0,10,10,10,17,1,10,10,True,think,True,10.0,10.0,10.0,0.0,0.0,1.0,3.194280540344369
nonpaper diagnostic,1,5->6,think,you,10,10,0,0,10,10,10,9,1,10,10,True,you,True,10.0,10.0,10.0,0.0,0.0,1.0,3.202840296549154
nonpaper diagnostic,1,6->7,you,would,10,10,0,0,16,16,16,15,1,6,7,True,would,True,16.0,5.625,3.0,0.0,0.625,0.375,1.3368134439061483
nonpaper diagnostic,2,1->2,The,Great,100,10,1,9,20,20,20,13,,0,0,False,easel,False,20.0,9.6,10.0,0.05,0.0,0.95,3.0787238315797794
nonpaper diagnostic,2,2->3,Great,Square,19,10,0,0,17,17,17,12,1,10,10,True,Square,True,17.0,6.882352941176471,10.0,0.23529411764705882,0.17647058823529413,0.5882352941176471,2.006575620409553
nonpaper diagnostic,2,3->4,Square,of,10,10,0,0,10,10,10,11,1,10,10,True,of,True,10.0,10.0,10.0,0.0,0.0,1.0,3.279878102392213
nonpaper diagnostic,2,4->5,of,Pegasus,10,10,0,0,10,10,10,18,1,10,10,True,Pegasus,True,10.0,10.0,10.0,0.0,0.0,1.0,3.1942805403443693
