diagnostic_label,sentence_index,cue_transition,current_word,expected_next_word,previous_active_cell_count,previous_winner_count,burst_column_count,burst_cell_count,raw_event_count,raw_predicted_column_count,prediction_active_cell_count,number_of_ranked_candidates,expected_word_rank,timed_overlap_of_expected_word,column_overlap_of_expected_word,expected_word_present,selected_word,selected_word_correct,accepted_segment_count,mean_contributors,median_contributors,two_contributor_fraction,three_contributor_fraction,four_plus_contributor_fraction,average_threshold_margin
nonpaper diagnostic,1,1->2,``,I,100,10,6,54,74,74,74,44,,0,0,False,But,False,74.0,10.054054054054054,10.0,0.0,0.0,1.0,0.7680523458125667
nonpaper diagnostic,1,2->3,I,did,64,10,4,37,70,70,70,51,18,1,2,True,ca,False,70.0,7.3428571428571425,7.0,0.0,0.0,1.0,0.4498228354126623
nonpaper diagnostic,1,3->4,did,not,46,10,1,10,15,15,15,46,1,8,8,True,not,True,15.0,7.333333333333333,9.0,0.0,0.0,1.0,0.3909603832774693
nonpaper diagnostic,1,4->5,not,think,19,10,0,0,10,10,10,48,1,10,10,True,think,True,10.0,10.0,10.0,0.0,0.0,1.0,0.7590299000831996
nonpaper diagnostic,1,5->6,think,you,10,10,0,0,10,10,10,42,1,10,10,True,you,True,10.0,10.0,10.0,0.0,0.0,1.0,0.7718695343903764
nonpaper diagnostic,1,6->7,you,would,10,10,0,0,10,10,10,41,1,10,10,True,would,True,10.0,10.0,10.0,0.0,0.0,1.0,0.7500421560681756
nonpaper diagnostic,2,1->2,The,Great,100,10,3,27,69,69,69,39,1,5,5,True,Great,True,69.0,9.840579710144928,10.0,0.0,0.0,1.0,0.8560979663484842
nonpaper diagnostic,2,2->3,Great,Square,37,10,1,9,35,35,35,47,1,5,5,True,Square,True,35.0,7.257142857142857,7.0,0.0,0.0,1.0,1.0781779725868526
nonpaper diagnostic,2,3->4,Square,of,19,10,0,0,10,10,10,47,1,10,10,True,of,True,10.0,10.0,10.0,0.0,0.0,1.0,1.0971402701721844
nonpaper diagnostic,2,4->5,of,Pegasus,10,10,2,20,8,8,8,39,1,8,8,True,Pegasus,True,8.0,10.0,10.0,0.0,0.0,1.0,0.6247487246206437
