diagnostic_label,sentence_index,cue_transition,current_word,expected_next_word,previous_active_cell_count,previous_winner_count,burst_column_count,burst_cell_count,raw_event_count,raw_predicted_column_count,prediction_active_cell_count,number_of_ranked_candidates,expected_word_rank,timed_overlap_of_expected_word,column_overlap_of_expected_word,expected_word_present,selected_word,selected_word_correct,accepted_segment_count,mean_contributors,median_contributors,two_contributor_fraction,three_contributor_fraction,four_plus_contributor_fraction,average_threshold_margin
nonpaper diagnostic,1,1->2,``,I,100,10,3,27,74,74,74,41,3,2,2,True,Yes,False,74.0,10.621621621621621,10.0,0.0,0.013513513513513514,0.9864864864864865,2.299424619031139
nonpaper diagnostic,1,2->3,I,did,37,10,4,36,68,68,68,45,1,3,4,True,did,True,68.0,5.514705882352941,4.0,0.0,0.3382352941176471,0.6617647058823529,0.7407145393803147
nonpaper diagnostic,1,3->4,did,not,46,10,2,19,19,19,19,50,1,8,8,True,not,True,19.0,6.421052631578948,4.0,0.0,0.10526315789473684,0.8947368421052632,1.3845016314503473
nonpaper diagnostic,1,4->5,not,think,28,10,4,36,31,31,31,51,1,6,6,True,think,True,31.0,5.096774193548387,4.0,0.0,0.3548387096774194,0.6451612903225806,0.7675896562879838
nonpaper diagnostic,1,5->6,think,you,46,10,3,27,46,46,46,42,1,5,5,True,you,True,46.0,5.1521739130434785,4.0,0.021739130434782608,0.13043478260869565,0.8478260869565217,0.9243196392467942
nonpaper diagnostic,1,6->7,you,would,37,10,0,0,70,70,70,42,1,6,6,True,would,True,70.0,4.742857142857143,4.0,0.0,0.37142857142857144,0.6285714285714286,0.6742194480372319
nonpaper diagnostic,2,1->2,The,Great,100,10,7,68,60,60,60,38,2,2,3,True,easel,False,60.0,9.283333333333333,10.0,0.0,0.06666666666666667,0.9333333333333333,2.0653015059628235
nonpaper diagnostic,2,2->3,Great,Square,73,10,3,27,60,60,60,40,2,2,3,True,pile,False,60.0,5.383333333333334,5.0,0.0,0.15,0.85,1.4405104420724972
nonpaper diagnostic,2,3->4,Square,of,37,10,0,0,22,22,22,47,1,10,10,True,of,True,22.0,5.954545454545454,4.0,0.3181818181818182,0.13636363636363635,0.5454545454545454,1.1859963757752587
nonpaper diagnostic,2,4->5,of,Pegasus,10,10,4,40,6,6,6,31,1,6,6,True,Pegasus,True,6.0,10.0,10.0,0.0,0.0,1.0,1.8648434047887867
nonpaper diagnostic,2,5->6,Pegasus,was,46,10,2,18,36,36,36,49,1,4,4,True,was,True,36.0,5.833333333333333,4.0,0.0,0.2222222222222222,0.7777777777777778,1.585429902051955
nonpaper diagnostic,2,6->7,was,over,28,10,0,0,30,30,30,43,1,3,3,True,over,True,30.0,5.933333333333334,5.0,0.0,0.23333333333333334,0.7666666666666667,0.9771140782501603
nonpaper diagnostic,3,1->2,A,moment,100,10,1,9,41,41,41,35,,0,0,False,word,False,41.0,7.2682926829268295,10.0,0.0,0.2926829268292683,0.7073170731707317,1.5335836607696283
nonpaper diagnostic,3,2->3,moment,before,19,10,1,10,9,9,9,37,1,9,9,True,before,True,9.0,9.0,9.0,0.0,0.0,1.0,1.764563483139681
nonpaper diagnostic,3,3->4,before,she,19,10,1,10,9,9,9,38,1,9,9,True,she,True,9.0,10.0,10.0,0.0,0.0,1.0,2.1398850156189093
nonpaper diagnostic,3,4->5,she,had,19,10,1,10,14,14,14,41,1,9,9,True,had,True,14.0,7.571428571428571,10.0,0.0,0.35714285714285715,0.6428571428571429,1.491850865615149
nonpaper diagnostic,3,5->6,had,been,19,10,1,9,22,22,22,38,1,5,5,True,been,True,22.0,6.818181818181818,7.0,0.0,0.22727272727272727,0.7727272727272727,1.667044947488456
nonpaper diagnostic,3,6->7,been,a,19,10,0,0,10,10,10,41,1,10,10,True,a,True,10.0,10.0,10.0,0.0,0.0,1.0,2.30299592552119
nonpaper diagnostic,4,1->2,When,the,100,10,4,36,33,33,33,45,1,4,5,True,the,True,33.0,5.181818181818182,4.0,0.0,0.30303030303030304,0.696969696969697,1.2010439112468674
nonpaper diagnostic,4,2->3,the,plum,46,10,5,45,87,87,87,43,1,2,4,True,plum,True,87.0,5.091954022988506,4.0,0.0,0.0,1.0,0.6421572517871268
nonpaper diagnostic,4,3->4,plum,pudding,55,10,0,0,12,12,12,40,1,10,10,True,pudding,True,12.0,8.833333333333334,10.0,0.0,0.16666666666666666,0.8333333333333334,2.1550726386072587
nonpaper diagnostic,4,4->5,pudding,came,10,10,0,0,10,10,10,39,1,10,10,True,came,True,10.0,10.0,10.0,0.0,0.0,1.0,2.2955061388420033
nonpaper diagnostic,4,5->6,came,on,10,10,0,0,10,10,10,46,1,10,10,True,on,True,10.0,10.0,10.0,0.0,0.0,1.0,2.3704040056338678
nonpaper diagnostic,4,6->7,on,",",10,10,0,0,17,17,17,48,1,9,9,True,",",True,17.0,6.705882352941177,10.0,0.0,0.47058823529411764,0.5294117647058824,0.9037275435743714
nonpaper diagnostic,5,1->2,Everybody,laughed,100,10,0,0,38,38,38,45,1,8,8,True,laughed,True,38.0,5.052631578947368,3.0,0.0,0.5789473684210527,0.42105263157894735,0.7586828108645971
nonpaper diagnostic,5,2->3,laughed,",",10,10,0,0,10,10,10,44,1,10,10,True,",",True,10.0,9.0,9.0,0.0,0.0,1.0,2.4999773151837914
nonpaper diagnostic,5,3->4,",",and,10,10,1,9,28,28,28,37,1,9,9,True,and,True,28.0,5.392857142857143,3.5,0.07142857142857142,0.42857142857142855,0.5,2.1743320900680234
nonpaper diagnostic,5,4->5,and,poor,19,10,3,27,64,64,64,54,,0,0,False,torrents,False,64.0,8.765625,10.0,0.0,0.03125,0.96875,1.7376918871510774
