elements,moving_accuracy_100,cumulative_accuracy
250,0.038461538461538464,0.038461538461538464
500,0.16981132075471697,0.16981132075471697
750,0.24050632911392406,0.24050632911392406
1000,0.34,0.3238095238095238
1250,0.43,0.3560606060606061
1500,0.52,0.3987341772151899
1750,0.58,0.44021739130434784
2000,0.6,0.45714285714285713
2250,0.66,0.48945147679324896
2500,0.69,0.5189393939393939
2750,0.76,0.5498281786941581
3000,0.79,0.5660377358490566
3250,0.8,0.5813953488372093
3500,0.73,0.581081081081081
3750,0.72,0.5944584382871536
4000,0.74,0.6108490566037735
4250,0.78,0.6288888888888889
4500,0.87,0.6407563025210085
4750,0.86,0.651394422310757
5000,0.88,0.6647727272727273
5250,0.9,0.6805054151624549
5500,0.9,0.6862068965517242
5750,0.92,0.6985172981878089
6000,0.91,0.7061611374407583
6250,0.9,0.7166666666666667
6500,0.91,0.7219796215429404
6750,0.9,0.7289325842696629
7000,0.92,0.7367706919945726
7250,0.91,0.743455497382199
7500,0.89,0.7443037974683544
7750,0.89,0.7503059975520195
8000,0.87,0.7544483985765125
8250,0.9,0.760644418872267
8500,0.91,0.7642458100558659
8750,0.85,0.762214983713355
9000,0.8,0.7602956705385427
9250,0.78,0.7615621788283659
9500,0.82,0.7672327672327672
9750,0.81,0.7672833495618305
10000,0.87,0.7692307692307693
10250,0.87,0.772937905468026
10500,0.84,0.7750677506775068
10750,0.85,0.7760141093474426
11000,0.85,0.7771084337349398
11250,0.86,0.7803030303030303
11500,0.87,0.7817133443163097
11750,0.84,0.7806451612903226
12000,0.85,0.7837411207576953
12250,0.86,0.785769528228925
12500,0.86,0.7878787878787878
12750,0.9,0.7904903417533432
13000,0.86,0.7893586005830904
13250,0.85,0.7911301859799714
13500,0.87,0.7935393258426966
13750,0.88,0.7966919365954515
14000,0.91,0.7976995940460081
14250,0.87,0.7972074468085106
14500,0.81,0.7955584585238407
14750,0.81,0.7976878612716763
15000,0.86,0.8005050505050505
15250,0.85,0.800497203231821
15500,0.9,0.8020769700671961
15750,0.87,0.802647412755716
16000,0.86,0.8040260509177027
16250,0.9,0.8065268065268065
16500,0.91,0.8083763625932301
16750,0.93,0.8100621820237422
17000,0.9,0.8100278551532033
17250,0.89,0.8117453347969265
17500,0.88,0.8128718226068145
17750,0.87,0.8134328358208955
18000,0.88,0.814503415659485
18250,0.89,0.8149300155520995
18500,0.88,0.8169734151329243
18750,0.9,0.8183652875882946
19000,0.91,0.8192231075697212
19250,0.92,0.8205506391347099
19500,0.91,0.8214459000485201
19750,0.88,0.8217537134643028
20000,0.91,0.8238636363636364
20250,0.87,0.823199251637044
20500,0.8,0.8207024029574861
20750,0.79,0.8205479452054795
21000,0.77,0.8217509025270758
21250,0.82,0.8224799286351472
21500,0.87,0.822310405643739
21750,0.87,0.8229393807239425
22000,0.86,0.8232758620689655
22250,0.82,0.8222506393861893
22500,0.83,0.822512647554806
22750,0.84,0.8236765318882868
23000,0.83,0.8239175257731959
23250,0.85,0.8229294165646674
23500,0.84,0.823576907549455
23750,0.83,0.8234824281150159
24000,0.84,0.8237850651916239
24250,0.82,0.8232303480641376
24500,0.83,0.8235294117647058
24750,0.8,0.8229206592564201
25000,0.82,0.8235963581183612
25250,0.86,0.8241923365890308
25500,0.86,0.8248419486798066
25750,0.92,0.8262150220913107
26000,0.93,0.8275610645278891
26250,0.9,0.8270758122743682
26500,0.87,0.82689556509299
26750,0.84,0.8270729978738484
27000,0.81,0.8266058266058266
27250,0.8,0.8260869565217391
27500,0.82,0.826671261199173
27750,0.86,0.8282690337999317
28000,0.89,0.8284263959390863
28250,0.88,0.8283031522468142
