checkpoint_sentences,sentence_index,retrieval_mode,recall_step,expected_word,decoded_word,raw_event_count,raw_predicted_column_count,prediction_active_cell_count,advance_success,timed_overlap_of_selected_word,column_overlap_of_selected_word,timed_overlap_of_expected_word,column_overlap_of_expected_word,expected_word_rank,number_of_ranked_candidates,top_5_candidates,stopped_reason,previous_active_cell_count,previous_winner_count,burst_cell_count
200,1,proximal-replay,1,would,Lady,99,99,99,,2,3,1,1,54,70,"[{""word"": ""Lady"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""Spirit"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""1715"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""You"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""West"", ""timed_overlap"": 1, ""column_overlap"": 4}]",completed,91,10,72
200,1,proximal-replay,2,want,fought,91,91,91,,4,4,0,0,,62,"[{""word"": ""fought"", ""timed_overlap"": 4, ""column_overlap"": 4}, {""word"": ""parents"", ""timed_overlap"": 3, ""column_overlap"": 4}, {""word"": ""why"", ""timed_overlap"": 2, ""column_overlap"": 4}, {""word"": ""hair"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""happily"", ""timed_overlap"": 2, ""column_overlap"": 2}]",completed,82,10,45
200,1,proximal-replay,3,to,her,75,75,75,,6,6,0,0,,76,"[{""word"": ""her"", ""timed_overlap"": 6, ""column_overlap"": 6}, {""word"": ""And"", ""timed_overlap"": 2, ""column_overlap"": 4}, {""word"": ""visited"", ""timed_overlap"": 2, ""column_overlap"": 4}, {""word"": ""silver"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""hour"", ""timed_overlap"": 2, ""column_overlap"": 2}]",completed,55,10,27
200,1,proximal-replay,4,see,pride,69,69,69,,5,5,0,0,,81,"[{""word"": ""pride"", ""timed_overlap"": 5, ""column_overlap"": 5}, {""word"": ""sable"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""long"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""Cursed"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""Clever"", ""timed_overlap"": 2, ""column_overlap"": 2}]",completed,37,10,36
200,2,proximal-replay,1,over,that,98,98,98,,2,3,0,0,,71,"[{""word"": ""that"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""Most"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""tunnels"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""find"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""so"", ""timed_overlap"": 2, ""column_overlap"": 2}]",completed,91,10,45
200,2,proximal-replay,2,our,any,85,85,85,,3,3,0,0,,67,"[{""word"": ""any"", ""timed_overlap"": 3, ""column_overlap"": 3}, {""word"": ""Puck"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""can"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""she"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""time"", ""timed_overlap"": 2, ""column_overlap"": 2}]",completed,55,10,36
200,2,proximal-replay,3,heads,No,74,74,74,,1,4,1,1,53,67,"[{""word"": ""No"", ""timed_overlap"": 1, ""column_overlap"": 4}, {""word"": ""suited"", ""timed_overlap"": 1, ""column_overlap"": 4}, {""word"": ""ruin"", ""timed_overlap"": 1, ""column_overlap"": 4}, {""word"": ""Hans"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""leafy"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,46,10,83
200,2,proximal-replay,4,.,--,87,87,87,,3,3,0,0,,70,"[{""word"": ""--"", ""timed_overlap"": 3, ""column_overlap"": 3}, {""word"": ""Alice"", ""timed_overlap"": 2, ""column_overlap"": 4}, {""word"": ""thank"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""chop"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""look"", ""timed_overlap"": 2, ""column_overlap"": 2}]",completed,91,10,36
200,3,proximal-replay,1,a,find,89,89,89,,2,3,0,0,,62,"[{""word"": ""find"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""only"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""care"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""want"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""tried"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,91,10,74
200,3,proximal-replay,2,woman,three,91,91,91,,2,4,0,0,,57,"[{""word"": ""three"", ""timed_overlap"": 2, ""column_overlap"": 4}, {""word"": ""CHAPTER"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""confessed"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""parents"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""horses"", ""timed_overlap"": 2, ""column_overlap"": 2}]",completed,82,10,64
200,3,proximal-replay,3,",",mother,91,91,91,,2,4,0,0,,74,"[{""word"": ""mother"", ""timed_overlap"": 2, ""column_overlap"": 4}, {""word"": ""Souchong"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""sensible"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""him"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""unpractical"", ""timed_overlap"": 1, ""column_overlap"": 5}]",completed,73,10,65
200,3,proximal-replay,4,splendid,reluctantly,71,71,71,,2,4,0,0,,80,"[{""word"": ""reluctantly"", ""timed_overlap"": 2, ""column_overlap"": 4}, {""word"": ""all"", ""timed_overlap"": 2, ""column_overlap"": 4}, {""word"": ""the"", ""timed_overlap"": 2, ""column_overlap"": 4}, {""word"": ""skins"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""world"", ""timed_overlap"": 2, ""column_overlap"": 3}]",completed,73,10,66
200,4,proximal-replay,1,",",Rogers,94,94,94,,2,4,0,0,,80,"[{""word"": ""Rogers"", ""timed_overlap"": 2, ""column_overlap"": 4}, {""word"": ""almost"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""three"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""Ideal"", ""timed_overlap"": 1, ""column_overlap"": 4}, {""word"": ""confessed"", ""timed_overlap"": 1, ""column_overlap"": 4}]",completed,55,10,63
200,4,proximal-replay,2,the,quaggi,74,74,74,,2,4,2,3,4,78,"[{""word"": ""quaggi"", ""timed_overlap"": 2, ""column_overlap"": 4}, {""word"": ""Half"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""long"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""the"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""world"", ""timed_overlap"": 2, ""column_overlap"": 3}]",completed,73,10,57
