checkpoint_sentences,sentence_index,retrieval_mode,recall_step,expected_word,decoded_word,raw_event_count,raw_predicted_column_count,prediction_active_cell_count,advance_success,timed_overlap_of_selected_word,column_overlap_of_selected_word,timed_overlap_of_expected_word,column_overlap_of_expected_word,expected_word_rank,number_of_ranked_candidates,top_5_candidates,stopped_reason,previous_active_cell_count,previous_winner_count,burst_cell_count
500,1,neural,1,would,Fox,100,100,100,True,2,2,0,0,,144,"[{""word"": ""Fox"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""AND"", ""timed_overlap"": 1, ""column_overlap"": 4}, {""word"": ""Sultan"", ""timed_overlap"": 1, ""column_overlap"": 4}, {""word"": ""hopelessly"", ""timed_overlap"": 1, ""column_overlap"": 4}, {""word"": ""give"", ""timed_overlap"": 1, ""column_overlap"": 4}]",completed,91,10,0
500,1,neural,2,want,by,99,99,99,True,3,3,0,0,,73,"[{""word"": ""by"", ""timed_overlap"": 3, ""column_overlap"": 3}, {""word"": ""tired"", ""timed_overlap"": 3, ""column_overlap"": 3}, {""word"": ""forgotten"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""glanced"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""obstinate"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,100,100,0
500,1,neural,3,to,hopelessly,100,100,100,True,2,3,1,2,31,72,"[{""word"": ""hopelessly"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""DO"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""hate"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""Chuck"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""our"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,99,99,0
500,1,neural,4,see,central,99,99,99,True,2,4,0,0,,98,"[{""word"": ""central"", ""timed_overlap"": 2, ""column_overlap"": 4}, {""word"": ""from"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""blue"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""--"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""order"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,100,100,0
500,2,neural,1,over,sweetens,100,100,100,True,2,3,0,0,,84,"[{""word"": ""sweetens"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""Reddy"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""sensible"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""HAD"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""her"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,91,10,0
500,2,neural,2,our,cake,100,100,100,True,2,4,0,0,,101,"[{""word"": ""cake"", ""timed_overlap"": 2, ""column_overlap"": 4}, {""word"": ""Oh"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""tiny"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""1715"", ""timed_overlap"": 1, ""column_overlap"": 4}, {""word"": ""where"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,100,100,0
500,2,neural,3,heads,killed,99,99,99,True,2,3,0,0,,127,"[{""word"": ""killed"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""slim"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""Don"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""sister"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""rock"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,100,100,0
500,2,neural,4,.,Magyars,98,98,98,True,3,4,0,0,,111,"[{""word"": ""Magyars"", ""timed_overlap"": 3, ""column_overlap"": 4}, {""word"": ""Johnny"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""Marilla"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""writing"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""cup"", ""timed_overlap"": 2, ""column_overlap"": 2}]",completed,99,99,0
500,3,neural,1,a,spur,100,100,100,True,2,4,0,0,,130,"[{""word"": ""spur"", ""timed_overlap"": 2, ""column_overlap"": 4}, {""word"": ""heated"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""Bowser"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""habit"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""sorry"", ""timed_overlap"": 2, ""column_overlap"": 2}]",completed,64,10,0
500,3,neural,2,woman,trim,99,99,99,True,2,4,0,0,,110,"[{""word"": ""trim"", ""timed_overlap"": 2, ""column_overlap"": 4}, {""word"": ""Thereupon"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""Saturday"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""wand"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""Skunk"", ""timed_overlap"": 2, ""column_overlap"": 2}]",completed,100,100,0
