input_index,input_timestamp,target_timestamp,target,prediction
12194,2017-11-21 02:00:00,2017-11-21 03:00:00,4.8540000915527335,6.07277032491323
12195,2017-11-21 03:00:00,2017-11-21 04:00:00,4.501999855041504,4.823198602006241
12196,2017-11-21 04:00:00,2017-11-21 05:00:00,4.64300012588501,9.24876512063516
12197,2017-11-21 05:00:00,2017-11-21 06:00:00,4.501999855041504,14.351182989172031
12198,2017-11-21 06:00:00,2017-11-21 07:00:00,4.150000095367432,13.93465908153637
12199,2017-11-21 07:00:00,2017-11-21 08:00:00,4.361999988555908,24.139494818610114
12200,2017-11-21 08:00:00,2017-11-21 09:00:00,4.290999889373778,8.858273957226727
12201,2017-11-21 09:00:00,2017-11-21 10:00:00,4.361999988555908,16.485868015804805
12202,2017-11-21 10:00:00,2017-11-21 11:00:00,4.290999889373778,22.629595653430833
12203,2017-11-21 11:00:00,2017-11-21 12:00:00,4.572999954223633,8.415717305363835
12204,2017-11-21 12:00:00,2017-11-21 13:00:00,4.8540000915527335,11.695843077994681
12205,2017-11-21 13:00:00,2017-11-21 14:00:00,4.7129998207092285,5.500049951914193
12206,2017-11-21 14:00:00,2017-11-21 15:00:00,4.7129998207092285,11.695843077994681
12207,2017-11-21 15:00:00,2017-11-21 16:00:00,4.994999885559082,5.291787998096361
12208,2017-11-21 16:00:00,2017-11-21 17:00:00,5.065000057220459,4.875264090460699
12209,2017-11-21 17:00:00,2017-11-21 18:00:00,4.994999885559082,14.66357591989878
12210,2017-11-21 18:00:00,2017-11-21 19:00:00,5.135000228881836,16.64206448116818
12211,2017-11-21 19:00:00,2017-11-21 20:00:00,5.276000022888184,5.291787998096361
12212,2017-11-21 20:00:00,2017-11-21 21:00:00,5.9790000915527335,5.291787998096361
12213,2017-11-21 21:00:00,2017-11-21 22:00:00,6.050000190734862,12.841283823992754
12214,2017-11-21 22:00:00,2017-11-21 23:00:00,6.050000190734862,15.1321653159889
12215,2017-11-21 23:00:00,2017-11-22 00:00:00,5.9790000915527335,12.737152847083838
12216,2017-11-22 00:00:00,2017-11-22 01:00:00,5.627999782562256,6.80168716327564
12217,2017-11-22 01:00:00,2017-11-22 02:00:00,5.627999782562256,11.314029495995323
12218,2017-11-22 02:00:00,2017-11-22 03:00:00,5.839000225067139,15.080099827534443
12219,2017-11-22 03:00:00,2017-11-22 04:00:00,5.697999954223633,15.106132571761671
12220,2017-11-22 04:00:00,2017-11-22 05:00:00,5.486999988555908,16.277606061986972
12221,2017-11-22 05:00:00,2017-11-22 06:00:00,5.3460001945495605,12.94541480090167
12222,2017-11-22 06:00:00,2017-11-22 07:00:00,5.276000022888184,21.48415490743276
12223,2017-11-22 07:00:00,2017-11-22 08:00:00,5.205999851226807,6.80168716327564
12224,2017-11-22 08:00:00,2017-11-22 09:00:00,5.416999816894531,9.387606423180381
12225,2017-11-22 09:00:00,2017-11-22 10:00:00,5.276000022888184,18.04783266943854
12226,2017-11-22 10:00:00,2017-11-22 11:00:00,5.697999954223633,7.114080094002387
12227,2017-11-22 11:00:00,2017-11-22 12:00:00,5.697999954223633,5.916573859549856
12228,2017-11-22 12:00:00,2017-11-22 13:00:00,7.315999984741211,25.05064086656313
12229,2017-11-22 13:00:00,2017-11-22 14:00:00,6.752999782562256,7.426473024729135
12230,2017-11-22 14:00:00,2017-11-22 15:00:00,6.752999782562256,16.694129969622637
12231,2017-11-22 15:00:00,2017-11-22 16:00:00,6.752999782562256,23.46264346870216
12232,2017-11-22 16:00:00,2017-11-22 17:00:00,6.683000087738037,17.449079552212275
12233,2017-11-22 17:00:00,2017-11-22 18:00:00,7.315999984741211,23.306447003338786
12234,2017-11-22 18:00:00,2017-11-22 19:00:00,6.964000225067139,16.09537685239637
12235,2017-11-22 19:00:00,2017-11-22 20:00:00,6.3309998512268075,6.645490697912266
12236,2017-11-22 20:00:00,2017-11-22 21:00:00,6.190999984741211,8.181422607318774
12237,2017-11-22 21:00:00,2017-11-22 22:00:00,6.119999885559082,6.645490697912266
12238,2017-11-22 22:00:00,2017-11-22 23:00:00,6.190999984741211,21.744482349705052
12239,2017-11-22 23:00:00,2017-11-23 00:00:00,5.3460001945495605,9.613223539816364
12240,2017-11-23 00:00:00,2017-11-23 01:00:00,5.3460001945495605,7.322342047820219
12241,2017-11-23 01:00:00,2017-11-23 02:00:00,5.627999782562256,5.6562464172775675
