column,time,segment_id,is_expected_event,total_psp,predicted_source_psp,burst_only_psp,unlabelled_psp,predicted_without_burst_crosses,burst_only_crosses,classification,contributor_count,diagnostic_label,sentence_index,phase,step,decoded_correct
14,0.004999999999999893,709,False,0.9999834028136901,0.0,0.9999834028136901,0.0,False,True,burst-only,18,nonpaper diagnostic,1,cue,1,
26,0.006790771484375124,1590,False,1.0001154069229399,0.0,1.0001154069229399,0.0,False,True,burst-only,10,nonpaper diagnostic,1,cue,1,
22,0.11472683376736126,711,False,1.0000359769746319,0.0,1.0000359769746319,0.0,False,True,burst-only,18,nonpaper diagnostic,1,cue,1,
20,0.06182630750868068,7297,False,1.0001339352033731,0.0,1.0001339352033731,0.0,False,True,burst-only,10,nonpaper diagnostic,1,cue,1,
36,0.2249999999999952,713,False,1.0001997030130938,0.0,1.0001997030130938,0.0,False,True,burst-only,18,nonpaper diagnostic,1,cue,1,
86,0.28496649848090283,714,False,1.000033615575593,0.0,1.000033615575593,0.0,False,True,burst-only,10,nonpaper diagnostic,1,cue,1,
74,0.061522352430555705,3638,False,1.0001408231000362,0.0,1.0001408231000362,0.0,False,True,burst-only,10,nonpaper diagnostic,1,cue,1,
7,0.17310099283854163,6262,False,1.000062538141919,0.0,1.000062538141919,0.0,False,True,burst-only,10,nonpaper diagnostic,1,cue,1,
17,0.3394478352864583,7376,False,1.000078878138213,0.0,1.000078878138213,0.0,False,True,burst-only,10,nonpaper diagnostic,1,cue,1,
31,0.004161376953125018,6187,False,1.0002057218303986,0.0,1.0002057218303986,0.0,False,True,burst-only,10,nonpaper diagnostic,1,cue,1,
93,0.061989881727430696,6188,False,1.000062538141934,0.0,1.000062538141934,0.0,False,True,burst-only,10,nonpaper diagnostic,1,cue,1,
38,0.11499999999999755,6189,False,0.9999875742488296,0.0,0.9999875742488296,0.0,False,True,burst-only,10,nonpaper diagnostic,1,cue,1,
3,0.17176920572916643,6190,False,0.9999875742488091,0.0,0.9999875742488091,0.0,False,True,burst-only,10,nonpaper diagnostic,1,cue,1,
41,0.17455240885416656,3727,False,1.000044844229164,0.0,1.000044844229164,0.0,False,True,burst-only,10,nonpaper diagnostic,1,cue,1,
56,0.39369479709201394,6193,False,1.0000917488016692,0.0,1.0000917488016692,0.0,False,True,burst-only,10,nonpaper diagnostic,1,cue,1,
57,0.16858520507812513,4,True,1.0002118814307754,0.0,1.0002118814307754,0.0,False,True,burst-only,23,nonpaper diagnostic,1,cue,1,
67,0.22493340386284721,1594,False,1.000248405071959,0.0,1.000248405071959,0.0,False,True,burst-only,19,nonpaper diagnostic,1,cue,1,
25,0.1836991373697916,2388,False,1.0000064289344397,0.0,1.0000064289344397,0.0,False,True,burst-only,4,nonpaper diagnostic,1,cue,1,
75,0.004999999999999893,2603,False,1.0001339352033731,0.0,1.0001339352033731,0.0,False,True,burst-only,10,nonpaper diagnostic,1,cue,1,
48,0.2916303168402776,2608,False,1.0000286013887012,0.0,1.0000286013887012,0.0,False,True,burst-only,10,nonpaper diagnostic,1,cue,1,
6,0.17973063151041657,3480,False,1.0000343447353686,0.0,1.0000343447353686,0.0,False,True,burst-only,10,nonpaper diagnostic,1,cue,1,
53,0.4018783908420138,2007,False,0.9999883687506079,0.0,0.9999883687506079,0.0,False,True,burst-only,19,nonpaper diagnostic,1,cue,1,
42,0.0076379394531249645,3891,False,0.9999870142716684,0.0,0.9999870142716684,0.0,False,True,burst-only,10,nonpaper diagnostic,1,cue,1,
66,0.2925324164496528,2005,False,1.0000253750044992,0.0,1.0000253750044992,0.0,False,True,burst-only,10,nonpaper diagnostic,1,cue,1,
60,0.0064343261718751155,6259,False,1.000062538141934,0.0,1.000062538141934,0.0,False,True,burst-only,10,nonpaper diagnostic,1,cue,1,
24,0.06429334852430557,6260,False,1.000065608512941,0.0,1.000065608512941,0.0,False,True,burst-only,10,nonpaper diagnostic,1,cue,1,
70,0.22865654839409721,6263,False,1.000062538141919,0.0,1.000062538141919,0.0,False,True,burst-only,10,nonpaper diagnostic,1,cue,1,
