fixture,artifact,present_before,present_after,raw_byte_equal,scientific_content_equal,before_sha256,after_sha256,before_content_sha256,after_content_sha256,difference_reason
segment_reinforcement,segment_reinforcement_event_trace.csv.gz,True,True,False,True,763e047bef05e14769c79ba8c58b30076c458b3b22301bf1da3674435d0d4698,75fde955ceff8ee24ab9a94202d526350205e189518e9021c2df34b7f531f2a4,792bad9f92f88f81b40416b5f20eebbfea949d923fa82678c6aabc0146eba805,792bad9f92f88f81b40416b5f20eebbfea949d923fa82678c6aabc0146eba805,gzip_header_metadata_only
segment_reinforcement,segment_reinforcement_protocol.json,True,True,True,True,56438521837a3b592c4c77f29865ecc1cc72ce17bc33aa65ee8355a9f609e17f,56438521837a3b592c4c77f29865ecc1cc72ce17bc33aa65ee8355a9f609e17f,56438521837a3b592c4c77f29865ecc1cc72ce17bc33aa65ee8355a9f609e17f,56438521837a3b592c4c77f29865ecc1cc72ce17bc33aa65ee8355a9f609e17f,
actual_branch_provenance,actual_branch_event_trace.csv,True,True,True,True,d9129b2e2d05a31ef00e7ff0b0b17a0ee9b899478f1aada01183efcb13ae321c,d9129b2e2d05a31ef00e7ff0b0b17a0ee9b899478f1aada01183efcb13ae321c,d9129b2e2d05a31ef00e7ff0b0b17a0ee9b899478f1aada01183efcb13ae321c,d9129b2e2d05a31ef00e7ff0b0b17a0ee9b899478f1aada01183efcb13ae321c,
actual_branch_provenance,actual_branch_provenance_protocol.json,True,True,True,True,a7609c974ac2492972bcaec322d0536b7dfc7c9726c36a8a0fdf5ca2588593da,a7609c974ac2492972bcaec322d0536b7dfc7c9726c36a8a0fdf5ca2588593da,a7609c974ac2492972bcaec322d0536b7dfc7c9726c36a8a0fdf5ca2588593da,a7609c974ac2492972bcaec322d0536b7dfc7c9726c36a8a0fdf5ca2588593da,
actual_branch_provenance,actual_branch_registry.csv,True,True,True,True,312b7860ebf843f052cce7613e177f976f483b682b203bdcc4ef547268eabe20,312b7860ebf843f052cce7613e177f976f483b682b203bdcc4ef547268eabe20,312b7860ebf843f052cce7613e177f976f483b682b203bdcc4ef547268eabe20,312b7860ebf843f052cce7613e177f976f483b682b203bdcc4ef547268eabe20,
actual_branch_provenance,actual_branch_segment_trace.csv,True,True,True,True,0830e1525269553d27d3737e1b9a074a1f642d804c6a6d098d046bae559a3a55,0830e1525269553d27d3737e1b9a074a1f642d804c6a6d098d046bae559a3a55,0830e1525269553d27d3737e1b9a074a1f642d804c6a6d098d046bae559a3a55,0830e1525269553d27d3737e1b9a074a1f642d804c6a6d098d046bae559a3a55,
actual_branch_provenance,actual_lineage_event_trace.csv,True,True,True,True,f39855e5379be8ad4091546641a2a62a1ce1d733006b8a31c135d59fe26d1d18,f39855e5379be8ad4091546641a2a62a1ce1d733006b8a31c135d59fe26d1d18,f39855e5379be8ad4091546641a2a62a1ce1d733006b8a31c135d59fe26d1d18,f39855e5379be8ad4091546641a2a62a1ce1d733006b8a31c135d59fe26d1d18,
actual_branch_provenance,actual_lineage_registry.csv,True,True,True,True,fc43fb638daa1765b9c32ca75c32dfbb9e31254f753c0940894455b6171ababc,fc43fb638daa1765b9c32ca75c32dfbb9e31254f753c0940894455b6171ababc,fc43fb638daa1765b9c32ca75c32dfbb9e31254f753c0940894455b6171ababc,fc43fb638daa1765b9c32ca75c32dfbb9e31254f753c0940894455b6171ababc,
match_overlap,match_overlap_column_trace.csv,True,True,True,True,11c334c1773492c455131f5e7259823833c7f54caae038a2fb0de6ad58725faa,11c334c1773492c455131f5e7259823833c7f54caae038a2fb0de6ad58725faa,11c334c1773492c455131f5e7259823833c7f54caae038a2fb0de6ad58725faa,11c334c1773492c455131f5e7259823833c7f54caae038a2fb0de6ad58725faa,
match_overlap,match_overlap_protocol.json,True,True,True,True,1de776c58e65e55ed3504fbca7dcd09ccac918c3b4e364b1251c1ee8815c9b5c,1de776c58e65e55ed3504fbca7dcd09ccac918c3b4e364b1251c1ee8815c9b5c,1de776c58e65e55ed3504fbca7dcd09ccac918c3b4e364b1251c1ee8815c9b5c,1de776c58e65e55ed3504fbca7dcd09ccac918c3b4e364b1251c1ee8815c9b5c,
match_overlap,match_overlap_segment_trace.csv.gz,True,True,False,True,079e2ac7870e675965ea0560c7ede4ffbf40d2816d63964f40cb81e5622d4529,12afa4b8e9c9efa5a2754c09987f81da5712da554513232e3565e9baaa023097,a876f0bdd70452bd4cb00bb1d522a9e52a4a6caf3b27d3d5d8be35e2f27c80f0,a876f0bdd70452bd4cb00bb1d522a9e52a4a6caf3b27d3d5d8be35e2f27c80f0,gzip_header_metadata_only
