record_index,timestamp,actual,decoded,signed_error,absolute_error,absolute_percentage_error,code_sha256
0,2014-07-01 00:00:00,10844.0,10831.600831600832,-12.399168399168047,12.399168399168047,0.0011434127996281858,58e9f85b1b3fdb5d5ae4eed93229d0b78d070b43848db6bbbfd979bbd20f62c6
1,2014-07-01 00:30:00,8127.0,8149.68814968815,22.68814968814968,22.68814968814968,0.00279170046611907,5443b451b40506052ba9458afee06b37b5214be1dca595f9cbafad556d5e8fab
2,2014-07-01 01:00:00,6210.0,6237.006237006237,27.006237006236915,27.006237006236915,0.004348830435786943,5d4d46607f96b25ba0d0ba8f8d1020a447b89d2856940ef8587d4a1ac4d5c48a
3,2014-07-01 01:30:00,4656.0,4677.754677754678,21.754677754677687,21.754677754677687,0.00467239642497373,c1e684ee46c6f759b6c05ba38d120395784a4af9ab58f6ced81f791e3ed0bce9
4,2014-07-01 02:00:00,3820.0,3825.3638253638255,5.363825363825526,5.363825363825526,0.0014041427653993526,795dc7e1d86842b36f25c6f140db4a721f0cdbde54173489e95bd9567fe22910
5,2014-07-01 02:30:00,2873.0,2910.6029106029105,37.60291060291047,37.60291060291047,0.013088378211942385,0867645ecb30e122a0388e184aeacd5df708901aa82f6d8d4a847b3ed4839c8d
6,2014-07-01 03:00:00,2369.0,2349.2723492723494,-19.727650727650598,19.727650727650598,0.00832741693864525,451cbf51a37ffc521b9309a5518e3b7129e128ffba0a856296b2df50f12937a3
7,2014-07-01 03:30:00,2064.0,2079.002079002079,15.002079002078972,15.002079002078972,0.007268449128914231,db6598f4db1e8c4fc65ad849ec4e3654153c220012f1e2b4b92bffd71f34f484
8,2014-07-01 04:00:00,2221.0,2245.322245322245,24.32224532224518,24.32224532224518,0.01095103346341521,42fb3aeb33d9049a238c49569f3f7de0a5c9930f526d7d60381cd8e91aa0c4bf
9,2014-07-01 04:30:00,2158.0,2162.162162162162,4.162162162162076,4.162162162162076,0.0019287127720862263,e12ef87960bbc5153b9d0befb5d0aa6e3d318e49b22925cb0761f514935f214c
