diagnostic_label,sentences,scenario,target_column,target_neuron,segment_identity,contributing_synapse_count,mean_weight_before,mean_weight_after,reinforcement_number,contribution_mode,prediction_candidate_identity,prediction_crossing_time,actual_positive_synapse_count,actual_positive_weakened_count,strengthened_synapse_count,weakened_synapse_count
nonpaper diagnostic,20,scenario1,81,0,2098251550640,10,0.49000000000000005,0.59,1,continuous-positive,2098257773728,1.0061145019531248,10,0,10,0
nonpaper diagnostic,20,scenario1,78,8,2098273684176,10,0.5,0.6,1,continuous-positive,2098257786352,0.5059667968750001,10,0,10,0
nonpaper diagnostic,20,scenario1,23,6,2098273687872,10,0.5,0.6,1,continuous-positive,2098257786400,0.5615223524305557,10,0,10,0
nonpaper diagnostic,20,scenario1,12,0,2098273682928,10,0.5,0.6,1,continuous-positive,2098257786208,0.6170779079861113,10,0,10,0
nonpaper diagnostic,20,scenario1,57,1,2098273694112,10,0.5,0.6,1,continuous-positive,2098257786256,0.6726334635416666,10,0,10,0
nonpaper diagnostic,20,scenario1,38,0,2098273685088,10,0.5,0.6,1,continuous-positive,2098257786112,0.7281890190972222,10,0,10,0
nonpaper diagnostic,20,scenario1,18,8,2098273686336,10,0.5,0.6,1,continuous-positive,2098257786160,0.7837445746527778,10,0,10,0
nonpaper diagnostic,20,scenario1,11,1,2098273692192,10,0.5,0.6,1,continuous-positive,2098257786016,0.8393001302083334,10,0,10,0
nonpaper diagnostic,20,scenario1,68,2,2098273692384,10,0.5,0.6,1,continuous-positive,2098257786064,0.894855685763889,10,0,10,0
nonpaper diagnostic,20,scenario1,88,3,2098273695648,10,0.5,0.6,1,continuous-positive,2098257773920,0.9504112413194445,10,0,10,0
nonpaper diagnostic,20,scenario1,81,4,2098273695024,10,0.5,0.6,1,continuous-positive,2098257785152,1.005966796875,10,0,10,0
nonpaper diagnostic,20,scenario1,72,0,2098251382704,10,0.49000000000000005,0.59,1,continuous-positive,2098306836496,0.8394478352864583,10,0,10,0
nonpaper diagnostic,20,scenario1,96,5,2098296913696,10,0.41999999999999993,0.5199999999999999,1,continuous-positive,2098251388336,1.0074072265625,10,0,10,0
nonpaper diagnostic,20,scenario1,47,6,2098306619376,10,0.49000000000000005,0.59,1,continuous-positive,2098250830224,0.6727811686197918,10,0,10,0
nonpaper diagnostic,20,scenario1,86,6,2098243816432,10,0.5,0.6,1,continuous-positive,2098243839200,0.5059667968750001,10,0,10,0
nonpaper diagnostic,20,scenario1,34,9,2098243815184,10,0.5,0.6,1,continuous-positive,2098243839152,0.5615223524305557,10,0,10,0
nonpaper diagnostic,20,scenario1,43,8,2098243816192,10,0.5,0.6,1,continuous-positive,2098243839104,0.6170779079861113,10,0,10,0
nonpaper diagnostic,20,scenario1,11,8,2098243823776,10,0.5,0.6,1,continuous-positive,2098243839248,0.6726334635416666,10,0,10,0
nonpaper diagnostic,20,scenario1,39,2,2098243828000,10,0.5,0.6,1,continuous-positive,2098243845248,0.7281890190972222,10,0,10,0
nonpaper diagnostic,20,scenario1,42,4,2098243828816,10,0.5,0.6,1,continuous-positive,2098243841792,0.7837445746527778,10,0,10,0
nonpaper diagnostic,20,scenario1,1,1,2098243816864,10,0.5,0.6,1,continuous-positive,2098243841744,0.8393001302083334,10,0,10,0
nonpaper diagnostic,20,scenario1,52,4,2098242962112,10,0.5,0.6,1,continuous-positive,2098243841840,0.894855685763889,10,0,10,0
nonpaper diagnostic,20,scenario1,97,9,2098242964368,10,0.5,0.6,1,continuous-positive,2098243841696,0.9504112413194445,10,0,10,0
nonpaper diagnostic,20,scenario1,15,2,2098242964704,10,0.5,0.6,1,continuous-positive,2098243841888,1.005966796875,10,0,10,0
nonpaper diagnostic,20,scenario1,32,3,2098274380176,10,0.49000000000000005,0.59,1,continuous-positive,2098243194416,0.7838922797309029,10,0,10,0
nonpaper diagnostic,20,scenario1,17,1,2098251055904,10,0.5,0.6,1,continuous-positive,2098243539296,0.5615223524305557,10,0,10,0
nonpaper diagnostic,20,scenario1,57,2,2098225064288,10,0.471,0.571,1,continuous-positive,2098243367952,0.6730839029947917,10,0,10,0
nonpaper diagnostic,20,scenario1,41,0,2098257758112,10,0.5,0.6,1,continuous-positive,2098243358400,0.5059667968750001,10,0,10,0
nonpaper diagnostic,20,scenario1,64,9,2098307021088,10,0.45,0.5499999999999999,1,continuous-positive,2098297269344,0.5067907714843751,10,0,10,0
