input_index,input_timestamp,target_timestamp,target,prediction,absolute_error,normalized_absolute_error,rolling_mape
5905,2014-11-01 00:00:00,2014-11-01 02:30:00,21459.0,16756.756756756757,4702.243243243243,0.3119093406130577,0.3119093406130577
5906,2014-11-01 00:30:00,2014-11-01 03:00:00,19849.0,14469.85446985447,5379.14553014553,0.356809643520727,0.33435949206689236
5907,2014-11-01 01:00:00,2014-11-01 03:30:00,17679.0,12016.632016632017,5662.3679833679835,0.3755963638288194,0.34810511598753474
5908,2014-11-01 01:30:00,2014-11-01 04:00:00,15018.0,10311.850311850312,4706.149688149688,0.3121684630343959,0.33912095274925
5909,2014-11-01 02:00:00,2014-11-01 04:30:00,10600.0,6569.646569646569,4030.3534303534307,0.26734152528274147,0.3247650672559483
5910,2014-11-01 02:30:00,2014-11-01 05:00:00,7758.0,4532.224532224533,3225.7754677754674,0.21397223560592746,0.30629959531427814
5911,2014-11-01 03:00:00,2014-11-01 05:30:00,5907.0,3617.4636174636175,2289.5363825363825,0.15186959637034395,0.2842381668937161
5912,2014-11-01 03:30:00,2014-11-01 06:00:00,5743.0,3679.83367983368,2063.16632016632,0.13685401056673,0.26581514735284284
5913,2014-11-01 04:00:00,2014-11-01 06:30:00,6223.0,5072.765072765073,1150.2349272349275,0.07629741788017404,0.24475762185587965
5914,2014-11-01 04:30:00,2014-11-01 07:00:00,6386.0,6029.106029106029,356.8939708939706,0.023673501639939674,0.22264920983428566
5915,2014-11-01 05:00:00,2014-11-01 07:30:00,9098.0,8648.648648648648,449.3513513513517,0.029806387388610963,0.20511804415740612
5916,2014-11-01 05:30:00,2014-11-01 08:00:00,9864.0,10311.850311850312,447.8503118503122,0.029706820391162216,0.1905004421768858
5917,2014-11-01 06:00:00,2014-11-01 08:30:00,12903.0,13596.673596673596,693.673596673596,0.04601277793318042,0.17938600646583155
5918,2014-11-01 06:30:00,2014-11-01 09:00:00,14185.0,11060.29106029106,3124.7089397089403,0.20726828761842628,0.1813775979767312
5919,2014-11-01 07:00:00,2014-11-01 09:30:00,18584.0,13430.35343035343,5153.646569646569,0.34185183967269617,0.19207588075646215
5920,2014-11-01 07:30:00,2014-11-01 10:00:00,19066.0,13596.673596673596,5469.326403326404,0.362791523920082,0.2027456084541884
