input_index,input_timestamp,target_timestamp,target,prediction,predicted_day,predicted_slot,absolute_error,normalized_absolute_error,rolling_mape
5905,2014-11-01 00:00:00,2014-11-01 02:30:00,21459.0,16590.43659043659,4.963045164653545,5.190671715317347,4868.563409563409,0.3229416949010073,0.3229416949010073
5906,2014-11-01 00:30:00,2014-11-01 03:00:00,19849.0,14178.794178794178,4.963045164653545,6.018257922213897,5670.205821205822,0.37611626352463906,0.3495289792128232
5907,2014-11-01 01:00:00,2014-11-01 03:30:00,17679.0,12016.632016632017,5.012318509223673,6.845844129110451,5662.3679833679835,0.3755963638288194,0.35821810741815524
5908,2014-11-01 01:30:00,2014-11-01 04:00:00,15018.0,10436.590436590437,4.963045164653545,8.05070759502748,4581.409563409563,0.3038941973184336,0.3446371298932248
5909,2014-11-01 02:00:00,2014-11-01 04:30:00,10600.0,6569.646569646569,4.96496974476847,8.878293801924032,4030.3534303534307,0.26734152528274147,0.32917800897112814
5910,2014-11-01 02:30:00,2014-11-01 05:00:00,7758.0,4573.804573804574,4.986199071340976,10.156188956696658,3184.195426195426,0.21121414703394006,0.3095173653149302
5911,2014-11-01 03:00:00,2014-11-01 05:30:00,5907.0,3492.7234927234927,5.022409176358209,10.983775163593208,2414.2765072765073,0.16014386208630624,0.28817829342512674
5912,2014-11-01 03:30:00,2014-11-01 06:00:00,5743.0,3991.6839916839917,4.933974184842008,11.811361370489761,1751.3160083160083,0.11616834627682429,0.2666770500315889
5913,2014-11-01 04:00:00,2014-11-01 06:30:00,6223.0,5197.505197505197,4.963045164653545,13.016224836406792,1025.4948024948026,0.06802315216421174,0.24460439471299145
5914,2014-11-01 04:30:00,2014-11-01 07:00:00,6386.0,6029.106029106029,4.995833800578524,13.843811043303344,356.8939708939706,0.023673501639939674,0.22251130540568628
5915,2014-11-01 05:00:00,2014-11-01 07:30:00,9098.0,7858.627858627859,4.809248751491082,15.121706198075968,1239.3721413721414,0.08221007025637209,0.20975664766483956
5916,2014-11-01 05:30:00,2014-11-01 08:00:00,9864.0,9106.029106029106,4.963045164653545,15.949292404972518,757.9708939708944,0.05027774819647326,0.19646673937580902
