input_index,input_timestamp,target_timestamp,target,prediction,absolute_error,normalized_absolute_error,rolling_mape
5905,2014-11-01 00:00:00,2014-11-01 02:30:00,21459.0,16756.756756756757,4702.243243243243,0.3121020477030491,0.3121020477030491
5906,2014-11-01 00:30:00,2014-11-01 03:00:00,19849.0,14469.85446985447,5379.14553014553,0.35703009138531683,0.334566069544183
5907,2014-11-01 01:00:00,2014-11-01 03:30:00,17679.0,12016.632016632017,5662.3679833679835,0.37582841870137484,0.3483201859299136
5908,2014-11-01 01:30:00,2014-11-01 04:00:00,15018.0,10311.850311850312,4706.149688149688,0.3123613302181109,0.339330472001963
5909,2014-11-01 02:00:00,2014-11-01 04:30:00,10600.0,6569.646569646569,4030.3534303534307,0.2675066970190859,0.3249657170053875
5910,2014-11-01 02:30:00,2014-11-01 05:00:00,7758.0,4532.224532224533,3225.7754677754674,0.2141044341697202,0.3064888365327763
5911,2014-11-01 03:00:00,2014-11-01 05:30:00,5907.0,3617.4636174636175,2289.5363825363825,0.15196342603224886,0.2844137778898438
5912,2014-11-01 03:30:00,2014-11-01 06:00:00,5743.0,3679.83367983368,2063.16632016632,0.13693856314241798,0.2659793760464156
5913,2014-11-01 04:00:00,2014-11-01 06:30:00,6223.0,5072.765072765073,1150.2349272349275,0.07634455674861784,0.24490884056888249
5914,2014-11-01 04:30:00,2014-11-01 07:00:00,6386.0,6029.106029106029,356.8939708939706,0.0236881278502416,0.22278676929701843
5915,2014-11-01 05:00:00,2014-11-01 07:30:00,9098.0,8648.648648648648,449.3513513513517,0.02982480268250863,0.20524477233206295
5916,2014-11-01 05:30:00,2014-11-01 08:00:00,9864.0,10311.850311850312,447.8503118503122,0.029725174169536496,0.1906181391518524
5917,2014-11-01 06:00:00,2014-11-01 08:30:00,12903.0,13596.673596673596,693.673596673596,0.046041206028730554,0.17949683660392
5918,2014-11-01 06:30:00,2014-11-01 09:00:00,14185.0,11060.29106029106,3124.7089397089403,0.20739634427898013,0.18148965858071
5919,2014-11-01 07:00:00,2014-11-01 09:30:00,18584.0,13430.35343035343,5153.646569646569,0.342063046150521,0.19219455108536404
5920,2014-11-01 07:30:00,2014-11-01 10:00:00,19066.0,13596.673596673596,5469.326403326404,0.3630156675725638,0.20287087086581404
5921,2014-11-01 08:00:00,2014-11-01 10:30:00,22683.0,21122.661122661124,1560.338877338876,0.10356439119305438,0.19702931323800463
5922,2014-11-01 08:30:00,2014-11-01 11:00:00,23292.0,19750.51975051975,3541.4802494802498,0.23505871146732482,0.199142057584078
5923,2014-11-01 09:00:00,2014-11-01 11:30:00,24154.0,21871.10187110187,2282.8981288981304,0.15152282514316306,0.1966357821924509
5924,2014-11-01 09:30:00,2014-11-01 12:00:00,25310.0,21829.52182952183,3480.478170478171,0.2310098197393077,0.19835448406979372
5925,2014-11-01 10:00:00,2014-11-01 12:30:00,26625.0,22286.90228690229,4338.097713097712,0.2879326120228257,0.20262010921041432
5926,2014-11-01 10:30:00,2014-11-01 13:00:00,25584.0,21288.98128898129,4295.018711018711,0.28507332889637754,0.20636798283250357
5927,2014-11-01 11:00:00,2014-11-01 13:30:00,25115.0,21954.261954261954,3160.738045738046,0.20978770456957163,0.2065166663862891
5928,2014-11-01 11:30:00,2014-11-01 14:00:00,23935.0,21455.301455301455,2479.6985446985454,0.1645850615232949,0.20476951618366435
5929,2014-11-01 12:00:00,2014-11-01 14:30:00,23341.0,21621.621621621623,1719.3783783783765,0.11412032192067532,0.20114354841314477
5930,2014-11-01 12:30:00,2014-11-01 15:00:00,23337.0,18586.278586278586,4750.721413721414,0.3153196898990107,0.20553493847029347
5931,2014-11-01 13:00:00,2014-11-01 15:30:00,22199.0,19334.719334719335,2864.280665280665,0.19011093526794487,0.20496367909242869
5932,2014-11-01 13:30:00,2014-11-01 16:00:00,20008.0,18253.638253638255,1754.3617463617447,0.11644227342729875,0.2018022003186741
5933,2014-11-01 14:00:00,2014-11-01 16:30:00,18443.0,16881.49688149688,1561.5031185031185,0.10364166538594144,0.1984173542865109
5934,2014-11-01 14:30:00,2014-11-01 17:00:00,20865.0,18419.95841995842,2445.0415800415794,0.16228477438860578,0.1972129349565807
5935,2014-11-01 15:00:00,2014-11-01 17:30:00,23719.0,21330.56133056133,2388.4386694386703,0.15852786871799737,0.19596502959404577
5936,2014-11-01 15:30:00,2014-11-01 18:00:00,25241.0,23284.823284823284,1956.1767151767162,0.12983734079536544,0.19389853931908702
5937,2014-11-01 16:00:00,2014-11-01 18:30:00,27383.0,25904.365904365906,1478.6340956340937,0.09814139872795062,0.19099680778602224
5938,2014-11-01 16:30:00,2014-11-01 19:00:00,28398.0,22910.60291060291,5487.397089397091,0.3642150734378738,0.19609146265813557
5939,2014-11-01 17:00:00,2014-11-01 19:30:00,27426.0,23035.343035343034,4390.656964656966,0.2914211278627823,0.19881516737826832
5940,2014-11-01 17:30:00,2014-11-01 20:00:00,26537.0,20914.760914760915,5622.239085239085,0.37316494286011703,0.20365821669720854
5941,2014-11-01 18:00:00,2014-11-01 20:30:00,25980.0,24199.5841995842,1780.4158004158016,0.1181715594724053,0.20134776650194358
5942,2014-11-01 18:30:00,2014-11-01 21:00:00,24601.0,23409.56340956341,1191.4365904365914,0.07907923523903583,0.19813017357397233
5943,2014-11-01 19:00:00,2014-11-01 21:30:00,24838.0,24158.004158004158,679.995841995842,0.04513337225193881,0.1942071786682792
5944,2014-11-01 19:30:00,2014-11-01 22:00:00,26372.0,25239.085239085238,1132.9147609147622,0.07519496513979401,0.19123187333006705
