input_index,input_timestamp,target_timestamp,target,prediction,predicted_day,predicted_slot,absolute_error,normalized_absolute_error,rolling_mape
1501,2014-08-01 06:00:00,2014-08-01 08:30:00,19462.0,19209.97920997921,4.075712076017277,17.128603656647734,252.02079002078972,0.016840969577646935,0.01294937776286043
1502,2014-08-01 06:30:00,2014-08-01 09:00:00,18581.0,15259.87525987526,3.8792041322323687,18.433517070631936,3321.12474012474,0.2219299475547135,0.09392386326382067
1503,2014-08-01 07:00:00,2014-08-01 09:30:00,18123.0,17754.677754677756,4.152923726629019,19.96109563774174,368.32224532224427,0.024612666787255277,0.07017533339507485
1504,2014-08-01 07:30:00,2014-08-01 10:00:00,16476.0,16735.966735966736,4.097984619068614,20.897073401984514,259.96673596673645,0.017371947335197323,0.05783753904675684
1505,2014-08-01 08:00:00,2014-08-01 10:30:00,16964.0,25862.785862785862,4.029711831320212,22.397551349017174,8898.785862785862,0.5946500762131914,0.14619802663014053
1506,2014-08-01 08:30:00,2014-08-01 11:00:00,16009.0,12858.627858627859,4.113809670348275,20.617339281644693,3150.3721413721414,0.21051962176111746,0.1538663306878049
1507,2014-08-01 09:00:00,2014-08-01 11:30:00,16890.0,15634.095634095635,4.113166521953801,22.724876453949644,1255.9043659043655,0.08392421600172201,0.14290434579402378
1508,2014-08-01 09:30:00,2014-08-01 12:00:00,17069.0,26029.10602910603,4.113166521953801,14.103404027548093,8960.106029106031,0.598747718536307,0.18962416288565856
1509,2014-08-01 10:00:00,2014-08-01 12:30:00,16779.0,26237.006237006237,4.2369483010216005,3.6493820478645835,9458.006237006237,0.632019268289245,0.2297660367732576
1510,2014-08-01 10:30:00,2014-08-01 13:00:00,16654.0,26320.16632016632,4.013580633170206,6.715642036545188,9666.166320166321,0.6459293017729519,0.2635198313812474
1511,2014-08-01 11:00:00,2014-08-01 13:30:00,16580.0,3451.1434511434513,4.257858207176025,0.44601141465190614,13128.85654885655,0.8773191835099979,0.309723936855544
